"id","bug.id","treatment","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","mass.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","count.onlymat2","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","num.mat2","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttwand","ttem.w","ttecl","dt.coc","tot.surv","perc.em","stsp.ecl","mass.end.all","class","ttend.all"
387,"25.10_para_40.1_387","para",25,10,"40","1",NA,"2/16/18","2/20/18",11:04:00,1,NA,"2/20/18",55.01,"2/20/18",11:18:00,13:00:00,01:56:00,"2/20/18",20:05:00,"2/24/18",205.25,"3/1/18",1020.06,NA,NA,NA,NA,0,NA,NA,NA,NA,7,7,NA,"3/15/18",1236.56,1,0,5,1,"1",0,0,0,NA,NA,NA,"mass 4 taken in pm","all 1sts or small 2nds, deformed",0,47,51,51,51,51,55,60,0,NA,74,NA,0,11.0666666666667,11.3,13,1.93333333333333,20.0833333333333,8.78333333333333,0.365972222222222,4,4,8,5,13,NA,27,NA,NA,NA,NA,NA,0,NA,1236.56,"mongo",27
233,"25.10_para_40.1_233","para",25,10,"40","1",NA,"2/10/18","2/16/18",08:32:00,1,NA,"2/16/18",21.14,"2/16/18",08:37:00,13:00:00,04:28:00,"2/16/18",19:12:00,"2/19/18",62.34,"2/24/18",182.46,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/10/18",572.58,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,41,47,47,47,47,50,55,0,NA,69,NA,0,8.53333333333333,8.61666666666667,13,4.46666666666667,19.2,10.5833333333333,0.440972222222222,6,3,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,572.58,"mongo",28
332,"25.10_para_40.1_332","para",25,10,"40","1",NA,"2/13/18","2/20/18",09:32:00,1,NA,"2/20/18",56.58,"2/20/18",10:05:00,13:00:00,03:28:00,"2/20/18",20:05:00,"2/23/18",236.73,"2/27/18",983.77,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/13/18",2463.24,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,44,51,51,51,51,54,58,0,NA,72,NA,0,9.53333333333333,10.0833333333333,13,3.46666666666667,20.0833333333333,10,0.416666666666667,7,3,10,4,14,NA,28,NA,NA,NA,NA,NA,NA,NA,2463.24,"mongo",28
173,"25.10_para_40.1_173","para",25,10,"40","1",NA,"2/8/18","2/13/18",08:18:00,1,NA,"2/13/18",71.29,"2/13/18",08:45:00,13:00:00,04:42:00,"2/13/18",19:00:00,"2/16/18",150.63,"2/20/18",814.05,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/6/18",1444.49,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,39,44,44,44,44,47,51,0,NA,65,NA,0,8.3,8.75,13,4.7,19,10.25,0.427083333333333,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,1444.49,"mongo",26
224,"25.10_para_40.1_224","para",25,10,"40","1",NA,"2/9/18","2/15/18",08:09:00,1,NA,"2/15/18",23.86,"2/15/18",08:20:00,13:00:00,04:51:00,"2/15/18",20:10:00,"2/19/18",64.71,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/14/18",267.06,1,0,4,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,40,46,46,46,46,50,NA,0,NA,73,NA,0,8.15,8.33333333333333,13,4.85,20.1666666666667,11.8333333333333,0.493055555555556,6,4,10,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,267.06,"mongo",33
278,"25.10_para_40.1_278","para",25,10,"40","1",NA,"2/13/18","2/19/18",11:47:00,1,NA,"2/19/18",62.71,"2/19/18",11:54:00,13:00:00,01:13:00,"2/19/18",19:22:00,"2/22/18",252.64,"2/27/18",1423.22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/13/18",3411.83,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 ad 5 taken in pm",NA,0,44,50,50,50,50,53,58,0,NA,72,NA,0,11.7833333333333,11.9,13,1.21666666666667,19.3666666666667,7.46666666666667,0.311111111111111,6,3,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,3411.83,"mongo",28
192,"25.10_para_40.2_192","para",25,10,"40","2",NA,"2/9/18","2/14/18",07:56:00,1,NA,"2/14/18",58.1,"2/14/18",08:10:00,13:00:00,05:04:00,"2/15/18",20:10:00,"2/18/18",338.2,"2/22/18",1833.95,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/8/17",15307.48,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,40,45,45,45,46,49,53,0,NA,67,NA,0,7.93333333333333,8.16666666666667,13,5.06666666666667,20.1666666666667,36,1.5,5,4,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,15307.48,"mongo",27
234,"25.10_para_40.2_234","para",25,10,"40","2",NA,"2/8/18","2/16/18",08:33:00,1,NA,"2/16/18",42.92,"2/16/18",08:37:00,13:00:00,04:27:00,"2/17/18",19:10:00,"2/19/18",209.02,"2/23/18",1351.36,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/9/18",6284.83,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,39,47,47,47,48,50,54,0,NA,68,NA,0,8.55,8.61666666666667,13,4.45,19.1666666666667,34.55,1.43958333333333,8,3,11,4,15,NA,29,NA,NA,NA,NA,NA,NA,NA,6284.83,"mongo",29
49,"25.10_para_40.2_49","para",25,10,"40","2",NA,"1/28/18","2/2/18",11:17:00,1,NA,"2/2/18",79.02,"2/2/18",11:24:00,13:00:00,01:43:00,"2/3/18",18:05:00,"2/6/18",168.87,"2/11/18",616.14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/25/18",1323.88,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,34,37,42,0,NA,56,NA,0,11.2833333333333,11.4,13,1.71666666666667,18.0833333333333,30.6833333333333,1.27847222222222,5,4,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,1323.88,"mongo",28
99,"25.10_para_40.2_99","para",25,10,"40","2",NA,"1/28/18","2/3/18",11:02:00,1,NA,"2/3/18",57.66,"2/3/18",11:12:00,13:00:00,01:58:00,"2/4/18",19:30:00,"2/7/18",359.07,"2/12/18",1880.24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/26/18",14684.07,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,34,34,34,35,38,43,0,NA,57,NA,0,11.0333333333333,11.2,13,1.96666666666667,19.5,32.3,1.34583333333333,6,4,10,5,15,NA,29,NA,NA,NA,NA,NA,NA,NA,14684.07,"mongo",29
333,"25.10_para_40.2_333","para",25,10,"40","2",NA,"2/13/18","2/20/18",09:41:00,1,NA,"2/20/18",43.8,"2/20/18",10:05:00,13:00:00,03:19:00,"2/21/18",20:22:00,"2/24/18",197.14,"3/3/18",1182.89,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/17/18",2904.44,1,0,5,0,NA,NA,1,0,NA,NA,NA,"horn damaged during ovp","found no wasp larvae. Did find melanized plaques. maybe found teratocyes? Found spherical self contained objects, but don't know if teratocytes, pieces of fat body, or something else. Pictures taken of plaques and objects",0,44,51,51,51,52,55,62,0,NA,76,NA,0,9.68333333333333,10.0833333333333,13,3.31666666666667,20.3666666666667,34.2833333333333,1.42847222222222,7,4,11,7,18,NA,32,NA,NA,NA,NA,NA,NA,NA,2904.44,"mongo",32
175,"25.10_para_40.2_175","para",25,10,"40","2",NA,"2/8/18","2/13/18",08:20:00,1,NA,"2/13/18",50.27,"2/13/18",08:45:00,13:00:00,04:40:00,"2/14/18",19:20:00,"2/17/18",343.86,"2/21/18",1318.93,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/7/18",2577.84,1,0,6,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm. molted into 6th 2/27/18; mass = 2002.15",NA,0,39,44,44,44,45,48,52,0,NA,66,NA,0,8.33333333333333,8.75,13,4.66666666666667,19.3333333333333,34.5833333333333,1.44097222222222,5,4,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,2577.84,"mongo",27
121,"25.10_para_40.3_121","para",25,10,"40","3",NA,"2/7/18","2/12/18",10:27:00,1,NA,"2/12/18",54,"2/12/18",10:30:00,13:00:00,02:33:00,"2/14/18",19:20:00,"2/17/18",410.79,"2/21/18",1696.31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/7/18",19565.43,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,38,43,43,43,45,48,52,0,NA,66,NA,0,10.45,10.5,13,2.55,19.3333333333333,56.8333333333333,2.36805555555556,5,5,10,4,14,NA,28,NA,NA,NA,NA,NA,NA,NA,19565.43,"mongo",28
75,"25.10_para_40.3_75","para",25,10,"40","3",NA,"1/28/18","2/2/18",11:38:00,1,NA,"2/2/18",54.53,"2/2/18",11:49:00,13:00:00,01:22:00,"2/4/18",19:30:00,"2/5/18",339.95,"2/9/18",1653.97,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/23/18",17035.67,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,35,36,40,0,NA,54,NA,0,11.6333333333333,11.8166666666667,13,1.36666666666667,19.5,55.6833333333333,2.32013888888889,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,17035.67,"mongo",26
92,"25.10_para_40.3_92","para",25,10,"40","3",NA,"1/28/18","2/3/18",11:06:00,1,NA,"2/3/18",54.11,"2/3/18",11:12:00,13:00:00,01:54:00,"2/5/18",19:20:00,"2/7/18",300.57,"2/12/18",2018.72,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/26/18",13490.76,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,34,34,34,36,38,43,0,NA,57,NA,0,11.1,11.2,13,1.9,19.3333333333333,56.1333333333333,2.33888888888889,6,4,10,5,15,NA,29,NA,NA,NA,NA,NA,NA,NA,13490.76,"mongo",29
193,"25.10_para_40.3_193","para",25,10,"40","3",NA,"2/9/18","2/14/18",07:58:00,1,NA,"2/14/18",57.32,"2/14/18",08:10:00,13:00:00,05:02:00,"2/16/18",19:12:00,"2/19/18",303.07,"2/24/18",1161.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/10/18",2627.46,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,40,45,45,45,47,50,55,0,NA,69,NA,0,7.96666666666667,8.16666666666667,13,5.03333333333333,19.2,59.0333333333333,2.45972222222222,5,5,10,5,15,NA,29,NA,NA,NA,NA,NA,NA,NA,2627.46,"mongo",29
246,"25.10_para_40.3_246","para",25,10,"40","3",NA,"2/13/18","2/19/18",12:23:00,1,NA,"2/19/18",44.59,"2/19/18",12:41:00,13:00:00,00:37:00,"2/21/18",20:22:00,"2/22/18",325.25,"2/26/18",1550.71,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/12/18",12063.34,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,44,50,50,50,52,53,57,0,NA,71,NA,0,12.3833333333333,12.6833333333333,13,0.616666666666667,20.3666666666667,55.6833333333333,2.32013888888889,6,3,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,12063.34,"mongo",27
316,"25.10_para_40.3_316","para",25,10,"40","3",NA,"2/13/18","2/19/18",12:36:00,1,NA,"2/19/18",59.01,"2/19/18",12:41:00,13:00:00,00:24:00,"2/21/18",20:22:00,"2/23/18",378.74,"2/27/18",1768.25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/13/18",6067.68,1,0,5,1,"egg",NA,1,0,NA,NA,NA,"mass 4 and 5 taken in pm","found 1 poss wasp egg, unmel. found many round mel plaques",0,44,50,50,50,52,54,58,0,NA,72,NA,0,12.6,12.6833333333333,13,0.4,20.3666666666667,55.6833333333333,2.32013888888889,6,4,10,4,14,NA,28,NA,NA,NA,NA,NA,NA,NA,6067.68,"mongo",28
449,"25.10_para_40.4_449","para",25,10,"40","4",NA,"3/7/18","3/12/18",12:05:00,2,NA,"3/12/18",55.77,"3/12/18",12:07:00,13:00:00,00:55:00,"3/15/18",20:17:00,"3/15/18",279.13,"3/22/18",968.43,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/5/18",14030.24,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"listed as 2 ovp, likely just one (1st was really short). mass 4 and 5 taken in pm",NA,0,66,71,71,71,74,74,81,0,NA,95,NA,0,12.0833333333333,12.1166666666667,13,0.916666666666667,20.2833333333333,80.1666666666667,3.34027777777778,5,3,8,7,15,NA,29,NA,NA,NA,NA,NA,NA,NA,14030.24,"mongo",29
511,"25.10_para_40.4_511","para",25,10,"40","4",NA,"3/11/18","3/16/18",08:06:00,1,NA,"3/16/18",58.71,"3/16/18",08:09:00,13:00:00,04:54:00,"3/19/18",18:40:00,"3/19/18",178.86,"3/25/18",638.96,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/8/18",1186.07,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,70,75,75,75,78,78,84,0,NA,98,NA,0,8.1,8.15,13,4.9,18.6666666666667,82.5166666666667,3.43819444444444,5,3,8,6,14,NA,28,NA,NA,NA,NA,NA,NA,NA,1186.07,"mongo",28
415,"25.10_para_40.4_415","para",25,10,"40","4",NA,"2/15/18","2/21/18",07:59:00,1,NA,"2/21/18",46.61,"2/21/18",08:01:00,13:00:00,05:01:00,"2/24/18",20:18:00,"2/24/18",367.22,"2/28/18",1941.82,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/14/18",8195.83,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,46,52,52,52,55,55,59,0,NA,73,NA,0,7.98333333333333,8.01666666666667,13,5.01666666666667,20.3,84.2833333333333,3.51180555555556,6,3,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,8195.83,"mongo",27
