id,bug.id,treatment,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,suc.ovp,date.3,mass.3,date.in.hs,time.in.hs,time.hs,tths1.ovp,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,num.unem,load,date.end,mass.end,mongo.age,mongo.mass,instar.end,diss.wasp,diss.wasp.stage,mel,wand,pup,gen.notes,diss.notes
1,25.10_para_0.0_1,para,25,10,0,0,,1/28/18,2/2/18,13:21,1,,2/2/18,46.83,,,,,,,2/5/18,221,2/9/18,829.95,2/16/18,5,0,2683.98,123,117,6,2/21/18,104,,123,,,,,,,,,,,mass 4 taken in pm. mass 5 taken in pm,
2,25.10_para_40.1_2,para,25,10,40,1,2/8/18,1/28/18,2/2/18,10:52,1,,2/2/18,66.5,2/2/18,10:52,13:00,2:08,2/2/18,19:10,2/7/18,94.46,,,,,,,0,,,,,,0,,,,,,,,,,,,
3,25.10_para_42.1_3,para,25,10,42,1,,1/28/18,2/2/18,11:07,1,,2/2/18,74.18,2/2/18,11:07,13:00,1:53,2/2/18,19:10,2/5/18,169.8,2/9/18,791.98,2/16/18,5,0,1621.39,3,2,1,2/23/18,2,,3,,,,,,,,,,,mass 4 and 5 taken in pm,
4,25.10_para_0.0_4,para,25,10,0,0,,1/28/18,2/2/18,13:20,1,,2/2/18,52.28,,,,,,,2/5/18,249.57,2/9/18,1147.18,2/15/18,5,0,4112.98,112,96,16,2/20/18,63,,112,,,,,,,,,,,mass 4 taken in pm. mass 5 taken in pm,
5,25.10_para_40.2_5,para,25,10,40,2,,1/28/18,2/2/18,11:23,2,,2/2/18,55.47,2/2/18,11:24,13:00,1:37,2/3/18,18:05,2/6/18,150.21,2/12/18,450.15,2/18/18,5,0,617.68,1,1,0,,,,1,,,,,,1,1,1,,,mass 4 and 5 taken in pm. no wasp eclosion after 4 weeks,"found 1 wasp larvae, probably late first or early 2nd. also found lots of mel plaques on tissues.mix of spherical and flat. also found some teratocytes"
6,25.10_para_42.2_6,para,25,10,42,2,,1/28/18,2/2/18,11:36,1,,2/2/18,41.96,2/2/18,11:36,13:00,1:24,2/3/18,18:05,2/6/18,109.41,2/11/18,691.84,,,,,0,,,,,,0,2/23/18,15076.1,1,1,6,,,,,,mass 4 taken in pm. cutcile removed from 5th prolegs after molt to 5th. molted to 6th instar 2/16/18. mass: 2837.01,
7,25.10_para_0.0_7,para,25,10,0,0,,1/28/18,2/2/18,13:18,1,,2/2/18,58.47,,,,,,,2/6/18,248.94,2/12/18,1496.58,2/17/18,5,0,2011.03,76,75,1,2/23/18,45,,76,,,,,,,,,,,mass 4 taken in pm. removed cuticle from 5th prolegs after molt to 5th,
9,25.10_para_42.3_9,para,25,10,42,3,,1/28/18,2/2/18,12:07,1,,2/2/18,43.87,2/2/18,12:08,13:00,0:53,2/4/18,19:30,2/5/18,221.51,2/9/18,1297.12,,,,,0,,,,,,0,2/23/18,17477.12,1,1,5,,,,,,mass 4 and 5 taken in pm,
10,25.10_para_0.0_10,para,25,10,0,0,2/9/18,1/28/18,2/2/18,13:17,1,,2/2/18,54.51,,,,,,,2/7/18,115.26,,,,,,,0,,,,,,0,,,,,,,,,,,mass 4 taken in pm. removed cuticle from 5th prolegs after molt to 4th,
11,25.10_para_40.4_11,para,25,10,40,4,2/4/18,1/28/18,2/2/18,12:21,1,,2/2/18,35.42,2/2/18,12:22,13:00,0:39,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,removed cuticle from 4-5th prolegs after molt to 3rd,
12,25.10_para_42.4_12,para,25,10,42,4,2/4/18,1/28/18,2/2/18,12:34,1,,2/2/18,42.7,2/2/18,12:35,13:00,0:26,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
13,25.10_para_0.0_13,para,25,10,0,0,,1/28/18,2/2/18,13:16,1,,2/2/18,55.72,,,,,,,2/5/18,253.46,2/9/18,1207.83,2/15/18,5,0,4774.74,115,88,27,2/20/18,80,47,162,,,,,,1,2,0,,,mass 4 and 5 taken in pm,"most of dissected wasps were 2nd instars, maybe a few 1sts and little 2nds"
